[2026-07-07 12:30:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_118 - Track ID: 36 - Width: 2.579mm, Length: 20.5mm - Trigger Reason: Width 2.579mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_119 - Track ID: 37 - Width: 2.755mm, Length: 27.4mm - Trigger Reason: Width 2.755mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:10] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_128 - Track ID: 38 - Width: 2.627mm, Length: 25.5mm - Trigger Reason: Width 2.627mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:11] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_132 - Track ID: 39 - Width: 2.837mm, Length: 26.9mm - Trigger Reason: Width 2.837mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:12] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_137 - Track ID: 40 - Width: 2.669mm, Length: 26.7mm - Trigger Reason: Width 2.669mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:12] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_142 - Track ID: 41 - Width: 2.984mm, Length: 26.1mm - Trigger Reason: Width 2.984mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:13] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_148 - Track ID: 42 - Width: 2.953mm, Length: 25.7mm - Trigger Reason: Width 2.953mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:14] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_153 - Track ID: 43 - Width: 2.928mm, Length: 26.8mm - Trigger Reason: Width 2.928mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:14] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_156 - Track ID: 44 - Width: 2.837mm, Length: 25.7mm - Trigger Reason: Width 2.837mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:14] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_156 - Track ID: 45 - Width: 2.632mm, Length: 25.1mm - Trigger Reason: Width 2.632mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
